,Sec Code
369,EGS694A1C018
370,EGS694B1C017
371,EGS696S1C016
372,EGS696Z1C017
373,EGS70081C012
374,EGS70271C019
375,EGS70281C018
376,EGS70321C012
377,EGS70331C011
378,EGS70342C018
379,EGS70431C019
380,EGS70571C012
381,EGS70GV1C015
382,EGS70H02C014
383,EGS70P91C010
384,EGS70Q61C011
385,EGS70R91C016
386,EGS72011C017
387,EGS72081C010
388,EGS72201C014
389,EGS729F1C012
390,EGS729J1C018
391,EGS72AQ1C016
392,EGS73541C012
393,EGS73541P048
394,EGS735N2C012
395,EGS738I1C018
396,EGS739Z1C016
397,EGS73BR1C013
398,EGS740C1C010
399,EGS74191C015
400,EGS743O1C013
401,EGS745L1C014
402,EGS75011C014
403,EGS78021C010
404,EGS79072C012
405,EGS7D971C011
406,EGS922X1C015
407,EGS922Y1C014
408,EGS922Z1C013
409,EGS95001C011
410,EGS99021C015
411,EGS30301C013
412,EGS30AJ1C016
413,EGS32131C012
414,EGS38461C017
415,EGS3A0A1C016
416,EGS3C181C012
417,EGS3C311C015
418,EGS3H051C012
419,EGS3J041C011
420,EGS48271C018
421,EGS60171C013
422,EGS69071C016
423,EGS70011C019
424,EGS70131C015
425,EGS74081C018
426,EGS07661C019
427,EGS22171C010
428,EGS221U1C016
429,EGS221V1C015
430,EGS233E1C012
431,EGS385S1C012
432,EGS3A2Z1C015
433,EGS3C4P1C011
434,EGS3E3B1C014
435,EGS3I0S1C019
436,EGS3I1D1C015
437,EGS3J2D1C012
438,EGS415I1C018
439,EGS49131C013
440,EGS520D1C015
441,EGS521T1C016
442,EGS550K1C019
443,EGS551D1C017
444,EGS655Y1C017
445,EGS659O1C015
446,EGS65AL1C010
447,EGS65AN1C018
448,EGS681W1C017
449,EGS729I1C019
450,EGS745W1C011
451,EGS74801C019
452,EGS922W1C016
